strategy,date,code,name,industry,amount,buy,sell,ret,equity_after
C_limit_up_conservative,2025-07-29,sz.002317,众生药业,C27医药制造业,2260132101.31,19.73,19.3,-0.023294221996958908,2844563.7965175146
C_limit_up_conservative,2025-07-30,sh.600010,包钢股份,C31黑色金属冶炼和压延加工业,10191375884.09,2.92,2.89,-0.011773972602739656,2827817.8884140435
C_limit_up_conservative,2025-07-30,sz.002837,英维克,C35专用设备制造业,2858524915.82,36.55,40.15,0.0969952120383038,2965772.422713893
C_limit_up_conservative,2025-07-31,sh.601606,长城军工,C33金属制品业,4965169852.09,34.68,34.89,0.004555363321799235,2970275.813018971
C_limit_up_conservative,2025-07-31,sz.300009,安科生物,C27医药制造业,3833904931.62,12.11,12.24,0.00923492981007429,2979405.3797377767
C_limit_up_conservative,2025-07-31,sz.301171,易点天下,I64互联网和相关服务,3692805945.08,33.54,35.91,0.06916189624329144,3047778.1945980946
C_limit_up_conservative,2025-08-01,sz.300724,捷佳伟创,C35专用设备制造业,3168948437.61,66.19,67.0,0.010737498111497214,3058686.6988010146
C_limit_up_conservative,2025-08-01,sz.000558,天府文旅,N78公共设施管理业,2301159282.95,7.37,7.67,0.03920556309362283,3098516.6522355755
C_limit_up_conservative,2025-08-01,sz.002370,亚太药业,C27医药制造业,2201374137.31,7.4,7.59,0.024175675675675523,3123077.351290242
C_limit_up_conservative,2025-08-04,sz.300199,翰宇药业,C27医药制造业,4686051809.25,24.32,26.0,0.06757894736842102,3193428.777940359
C_limit_up_conservative,2025-08-04,sh.601606,长城军工,C33金属制品业,3496453830.49,38.83,42.0,0.08013790883337629,3276854.407292785
C_limit_up_conservative,2025-08-04,sz.002265,建设工业,C36汽车制造业,3248659850.09,40.28,42.85,0.062303376365441976,3341713.8285047268
C_limit_up_conservative,2025-08-05,sz.002097,山河智能,C35专用设备制造业,5944105011.98,17.17,17.0,-0.01140099009901002,3329014.2130805575
C_limit_up_conservative,2025-08-05,sh.601606,长城军工,C33金属制品业,3783571933.13,42.71,43.13,0.008333762584874784,3338297.2296383413
C_limit_up_conservative,2025-08-05,sz.002017,东信和平,C39计算机、通信和其他电子设备制造业,3100737610.15,27.16,27.48,0.01028203240058906,3349750.432924402
C_limit_up_conservative,2025-08-06,sh.600150,中国船舶,C37铁路、船舶、航空航天和其他运输设备制造业,8456751349.28,38.51,40.0,0.037191249026227,3391277.5670999363
C_limit_up_conservative,2025-08-06,sh.600967,内蒙一机,C37铁路、船舶、航空航天和其他运输设备制造业,4101012214.93,23.66,24.2,0.021323330515638228,3415086.845641986
C_limit_up_conservative,2025-08-06,sz.000630,铜陵有色,C32有色金属冶炼和压延加工业,3228143234.6,4.03,4.05,0.003462779156327368,3418953.3276346624
C_limit_up_conservative,2025-08-07,sh.601606,长城军工,C33金属制品业,6653434789.83,51.68,50.0,-0.03400773993808054,3380196.369092451
C_limit_up_conservative,2025-08-07,sz.002017,东信和平,C39计算机、通信和其他电子设备制造业,4626884007.39,30.72,30.0,-0.0249375,3351776.3195564877
C_limit_up_conservative,2025-08-07,sz.300322,硕贝德,C39计算机、通信和其他电子设备制造业,3862280732.32,26.1,26.36,0.008461685823754785,3361419.6891913293
C_limit_up_conservative,2025-08-08,sz.002097,山河智能,C35专用设备制造业,4638788488.13,17.33,18.43,0.06197374495095215,3430859.611355013
C_limit_up_conservative,2025-08-08,sz.002837,英维克,C35专用设备制造业,4276123654.06,46.39,47.99,0.03299019185169222,3467824.238168506
C_limit_up_conservative,2025-08-08,sz.002046,国机精工,C34通用设备制造业,3945998354.71,31.05,31.05,-0.0015,3466143.52832391
C_limit_up_conservative,2025-08-11,sh.600410,华胜天成,I65软件和信息技术服务业,5742445368.75,14.2,13.75,-0.03319014084507038,3427796.2643591436
C_limit_up_conservative,2025-08-11,sz.002460,赣锋锂业,C32有色金属冶炼和压延加工业,4032601386.66,40.51,40.0,-0.01408948407800542,3411517.539674343
C_limit_up_conservative,2025-08-11,sh.601606,长城军工,C33金属制品业,4023213568.34,57.07,59.2,0.03582258629752949,3452906.281562012
C_limit_up_conservative,2025-08-12,sh.600410,华胜天成,I65软件和信息技术服务业,6062513290.32,15.62,16.08,0.027949423815620877,3485075.1952483444
C_limit_up_conservative,2025-08-12,sz.002104,恒宝股份,C39计算机、通信和其他电子设备制造业,5556096023.91,22.33,23.0,0.028504478280340362,3517882.959283956
C_limit_up_conservative,2025-08-12,sh.600619,海立股份,C34通用设备制造业,3813083373.59,22.98,23.51,0.02156353350739787,3542701.9127174118
C_limit_up_conservative,2025-08-13,sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,10023782873.33,43.68,43.96,0.004910256410256388,3548500.4376429277
C_limit_up_conservative,2025-08-13,sz.000066,中国长城,C39计算机、通信和其他电子设备制造业,9276919816.45,17.5,18.11,0.03335714285714292,3587891.908910524
C_limit_up_conservative,2025-08-13,sz.002104,恒宝股份,C39计算机、通信和其他电子设备制造业,6801069306.31,24.56,25.47,0.03555211726384361,3629875.426854448
C_limit_up_conservative,2025-08-14,sh.600580,卧龙电驱,C38电气机械和器材制造业,7075854541.76,27.62,28.5,0.030360970311368585,3666610.9402106795
C_limit_up_conservative,2025-08-14,sh.600410,华胜天成,I65软件和信息技术服务业,6070996314.66,17.81,18.7,0.04847192588433474,3725259.957763965
C_limit_up_conservative,2025-08-14,sz.002104,恒宝股份,C39计算机、通信和其他电子设备制造业,5283506814.81,27.02,28.52,0.05401443375277576,3790615.179688851
C_limit_up_conservative,2025-08-15,sz.300803,指南针,J69其他金融业,10690237885.33,109.87,115.14,0.04646577773732591,3849326.4738312364
C_limit_up_conservative,2025-08-15,sh.600580,卧龙电驱,C38电气机械和器材制造业,10116003941.19,30.38,31.8,0.04524127715602383,3906490.5644766144
C_limit_up_conservative,2025-08-15,sh.601162,天风证券,J67资本市场服务,7680794221.52,5.54,5.76,0.03821119133573997,3954771.871780365
C_limit_up_conservative,2025-08-18,sh.600111,北方稀土,C32有色金属冶炼和压延加工业,11749317544.64,42.9,44.17,0.0281037296037297,3991819.8182233484
