strategy,date,code,name,industry,prev_vol_ratio,buy,sell,ret,equity_after
A_no_lookahead,2024-11-26,sz.300703,创源股份,C24文教、工美、体育和娱乐用品制造业,2.2206903784932432,11.5,12.8,0.11154347826086958,366645.7087438112
A_no_lookahead,2024-11-28,sz.002292,奥飞娱乐,C24文教、工美、体育和娱乐用品制造业,2.233068335518926,10.07,9.21,-0.08690218470705063,350714.5521921601
A_no_lookahead,2024-11-28,sz.002862,实丰文化,C24文教、工美、体育和娱乐用品制造业,31.009378379047636,40.86,37.48,-0.08422148800783164,335274.82861111517
A_no_lookahead,2024-12-03,sh.600540,新赛股份,A01农业,3.044771066490345,5.5,4.77,-0.1342272727272728,312773.31568182824
A_no_lookahead,2024-12-03,sh.601118,海南橡胶,A01农业,3.5279844922699777,6.55,5.96,-0.09157633587786257,297421.6955236861
A_no_lookahead,2024-12-05,sh.601011,宝泰隆,C25石油、煤炭及其他燃料加工业,1.7705956454355196,3.22,3.6,0.11651242236024834,332075.01773164305
A_no_lookahead,2024-12-06,sz.301302,华如科技,I65软件和信息技术服务业,1.6023661468229895,27.55,26.51,-0.03924954627949179,327730.41980606935
A_no_lookahead,2024-12-06,sh.688031,星环科技,I65软件和信息技术服务业,2.2763292331723113,64.81,63.69,-0.01878128375250737,325651.488094357
A_no_lookahead,2024-12-06,sh.603859,能科科技,I65软件和信息技术服务业,1.6477734563337298,35.0,38.81,0.10735714285714298,337535.0298003251
A_no_lookahead,2024-12-09,sz.300759,康龙化成,M73研究和试验发展,2.5938024809668474,30.98,30.5,-0.016993867010974884,335623.0213310011
A_no_lookahead,2024-12-09,sz.301230,泓博医药,M73研究和试验发展,1.9343522450319974,29.5,28.53,-0.03438135593220332,331754.7173312838
A_no_lookahead,2024-12-09,sh.688202,美迪西,M73研究和试验发展,2.117832999013168,40.0,39.0,-0.026500000000000024,328773.1579013809
A_no_lookahead,2024-12-10,sz.000002,万科A,K70房地产业,1.5210585206118423,8.99,8.51,-0.05489265850945496,322757.41367346235
A_no_lookahead,2024-12-10,sz.001236,弘业期货,J67资本市场服务,1.7294310464427765,12.0,11.2,-0.06816666666666676,315286.95691892545
A_no_lookahead,2024-12-10,sz.002314,南山控股,K70房地产业,1.9826477286737358,2.92,2.78,-0.04944520547945214,309868.20480273804
A_no_lookahead,2024-12-13,sh.603216,梦天家居,C20木材加工和木、竹、藤、棕、草制品业,1.814910894338955,13.06,14.45,0.10493185298621738,320706.5531065594
A_no_lookahead,2024-12-13,sz.300860,锋尚文化,R88文化艺术业,1.6064801383243206,31.0,38.04,0.22559677419354834,344008.30891610717
