strategy,date,code,name,industry,vol_ratio,buy,sell,ret,equity_after
A_daily_vol_proxy_3_8,2024-04-09,sz.000488,ST晨鸣,C22造纸和纸制品业,3.7625789878832916,3.7,3.63,-0.02041891891891895,1317178.727814726
A_daily_vol_proxy_3_8,2024-04-10,sz.300161,华中数控,C34通用设备制造业,3.2072205760798016,30.07,29.97,-0.004825573661456693,1314000.656326539
A_daily_vol_proxy_3_8,2024-04-10,sz.000837,秦川机床,C34通用设备制造业,3.15333796485828,9.5,9.1,-0.04360526315789476,1285282.693800368
A_daily_vol_proxy_3_8,2024-04-11,sz.002679,福建金森,A02林业,3.2776026458401746,9.81,9.65,-0.017809887869520924,1262391.9531431478
A_daily_vol_proxy_3_8,2024-04-16,sh.600984,建设机械,L71租赁业,6.5940028844777006,4.51,3.44,-0.238750554323725,960995.1745564113
A_daily_vol_proxy_3_8,2024-04-17,sh.603860,中公高科,M74专业技术服务业,4.85084723198619,33.5,33.13,-0.01254477611940291,954967.439898093
A_daily_vol_proxy_3_8,2024-04-17,sh.603859,能科科技,I65软件和信息技术服务业,3.5871591842615995,34.0,33.1,-0.027970588235294025,941527.639736282
A_daily_vol_proxy_3_8,2024-04-22,sz.300761,立华股份,A03畜牧业,4.737828984880435,22.0,22.7,0.030318181818181744,970073.0459046501
A_daily_vol_proxy_3_8,2024-04-26,sh.601995,中金公司,J67资本市场服务,7.326693361490927,32.01,34.59,0.07909981255857562,995650.5779377116
A_daily_vol_proxy_3_8,2024-04-26,sh.601099,太平洋,J67资本市场服务,6.669117333524018,3.12,3.36,0.07542307692307687,1020039.2092584682
A_daily_vol_proxy_3_8,2024-04-26,sh.601990,南京证券,J67资本市场服务,6.478824715710393,7.76,8.03,0.033293814432989566,1030805.0199173996
A_daily_vol_proxy_3_8,2024-04-30,sz.300135,宝利国际,C25石油、煤炭及其他燃料加工业,3.0509506195749783,3.18,3.13,-0.01722327044025168,1013051.1862881932
A_daily_vol_proxy_3_8,2024-05-06,sz.000965,天保基建,K70房地产业,4.424007631702741,3.36,3.17,-0.05804761904761907,983648.5816194954
A_daily_vol_proxy_3_8,2024-05-06,sz.000029,深深房A,K70房地产业,3.215755864772539,12.01,11.3,-0.0606174021648625,952944.3160330842
A_daily_vol_proxy_3_8,2024-05-08,sh.688238,和元生物,M73研究和试验发展,3.3516649753649563,6.59,6.8,0.030366464339908916,981881.8656238217
A_daily_vol_proxy_3_8,2024-05-09,sz.002133,广宇集团,K70房地产业,5.103752221060148,2.79,2.79,-0.0015,980409.042825386
A_daily_vol_proxy_3_8,2024-05-10,sz.000504,南华生物,M75科技推广和应用服务业,5.639428606509292,10.17,9.21,-0.09589528023598809,886392.4429177488
A_daily_vol_proxy_3_8,2024-05-13,sh.601199,江南水务,D46水的生产和供应业,3.8903345803861966,5.7,5.44,-0.04711403508771922,872471.9346987102
A_daily_vol_proxy_3_8,2024-05-13,sh.600168,武汉控股,D46水的生产和供应业,3.678475631051212,6.51,6.52,3.6098310291889004e-05,872482.6004551918
A_daily_vol_proxy_3_8,2024-05-13,sh.600187,*ST国中,D46水的生产和供应业,3.0919836099190556,2.32,2.26,-0.02736206896551724,864398.0900706488
A_daily_vol_proxy_3_8,2024-05-14,sz.300467,迅游科技,I64互联网和相关服务,4.053734964830952,16.25,15.61,-0.040884615384615464,846727.7983447815
A_daily_vol_proxy_3_8,2024-05-14,sz.300031,宝通科技,I64互联网和相关服务,3.987616810300639,14.28,15.0,0.04892016806722693,867871.0482664045
A_daily_vol_proxy_3_8,2024-05-15,sz.301223,中荣股份,C23印刷和记录媒介复制业,3.9936442522564355,16.4,15.38,-0.06369512195121935,840231.472137774
A_daily_vol_proxy_3_8,2024-05-15,sz.000783,长江证券,J67资本市场服务,3.900613083321056,5.84,5.66,-0.03232191780821908,826205.8437926741
A_daily_vol_proxy_3_8,2024-05-16,sh.600281,华阳新材,C32有色金属冶炼和压延加工业,3.373950775842607,3.7,3.58,-0.033932432432432436,798170.6698228983
A_daily_vol_proxy_3_8,2024-05-17,sz.002208,合肥城建,K70房地产业,4.032617322828586,5.88,5.9,0.0019013605442178018,799688.2800420515
A_daily_vol_proxy_3_8,2024-05-20,sz.000426,兴业银锡,B09有色金属矿采选业,3.3399299120950956,14.49,15.21,0.04818944099378891,812533.7904368885
A_daily_vol_proxy_3_8,2024-05-20,sz.002627,三峡旅游,N78公共设施管理业,3.2549846673390594,5.05,5.0,-0.01140099009900991,809494.7110492039
A_daily_vol_proxy_3_8,2024-05-20,sh.600054,黄山旅游,N78公共设施管理业,3.204655482076674,12.35,12.28,-0.0071680161943319925,807583.9848686176
A_daily_vol_proxy_3_8,2024-05-21,sz.301428,世纪恒通,I64互联网和相关服务,4.678238065262827,26.2,26.11,-0.004935114503816838,803598.4654318423
A_daily_vol_proxy_3_8,2024-05-22,sz.002762,金发拉比,C18纺织服装、服饰业,4.007249423204527,6.68,6.16,-0.07934431137724546,739837.4985683416
A_daily_vol_proxy_3_8,2024-05-24,sh.600620,天宸股份,S91综合,6.098509290433325,6.73,5.7,-0.15454606240713226,625498.526343462
A_daily_vol_proxy_3_8,2024-05-27,sz.300703,创源股份,C24文教、工美、体育和娱乐用品制造业,3.470958308397813,9.35,9.01,-0.03786363636363638,601814.8775960028
A_daily_vol_proxy_3_8,2024-05-28,sh.600895,张江高科,K70房地产业,4.052438798848254,20.01,19.64,-0.019990754622688678,589784.1440496977
A_daily_vol_proxy_3_8,2024-05-30,sh.601388,怡球资源,C42废弃资源综合利用业,6.900924461455842,2.84,2.81,-0.012063380281690126,586226.7488428063
A_daily_vol_proxy_3_8,2024-05-30,sz.002996,顺博合金,C42废弃资源综合利用业,3.2414279365842456,7.31,6.9,-0.057587551299589534,569244.6365172331
A_daily_vol_proxy_3_8,2024-05-31,sh.688293,奥浦迈,M73研究和试验发展,3.8620745744265554,36.32,37.14,0.02107709251101314,581242.6583825048
A_daily_vol_proxy_3_8,2024-06-04,sz.002811,郑中设计,M74专业技术服务业,3.811787595161122,8.0,8.4,0.04850000000000004,609432.9273140563
A_daily_vol_proxy_3_8,2024-06-26,sz.300418,昆仑万维,I64互联网和相关服务,3.2461318404096864,30.85,33.24,0.07597163695299841,655732.5444151629
A_daily_vol_proxy_3_8,2024-06-27,sz.002857,三晖电气,C40仪器仪表制造业,4.186271029236088,11.7,13.79,0.17713247863247866,713808.3098712828
A_daily_vol_proxy_3_8,2024-06-27,sz.300508,维宏股份,C40仪器仪表制造业,3.153388383740185,19.88,19.99,0.004033199195171035,715130.659856474
A_daily_vol_proxy_3_8,2024-06-28,sz.301357,北方长龙,C41其他制造业,5.8521598419768805,28.41,30.0,0.054466209081309336,754081.1158966714
A_daily_vol_proxy_3_8,2024-07-02,sz.000663,永安林业,A02林业,3.6098848702402986,4.43,4.52,0.018816027088036036,768269.9265999596
A_daily_vol_proxy_3_8,2024-07-04,sh.600076,康欣新材,C20木材加工和木、竹、藤、棕、草制品业,5.679772954509008,2.01,1.58,-0.21543034825870638,602761.2687558396
A_daily_vol_proxy_3_8,2024-07-08,sh.605068,明新旭腾,C19皮革、毛皮、羽毛及其制品和制鞋业,3.892302087333296,13.49,13.25,-0.01929095626389915,591133.4274826983
A_daily_vol_proxy_3_8,2024-07-09,sh.603929,亚翔集成,E49建筑安装业,6.657822753686703,23.96,25.14,0.04774874791318867,619359.3084946289
A_daily_vol_proxy_3_8,2024-07-10,sz.002357,富临运业,G54道路运输业,5.19335396406541,5.38,5.43,0.007793680297397744,620968.3379745038
A_daily_vol_proxy_3_8,2024-07-10,sz.000762,西藏矿业,B09有色金属矿采选业,5.006140106218647,17.9,18.7,0.04319273743016755,629885.6126367499
A_daily_vol_proxy_3_8,2024-07-10,sz.300240,飞力达,G58多式联运和运输代理业,3.3301359419025487,5.7,5.88,0.030078947368420927,636095.5046508671
A_daily_vol_proxy_3_8,2024-07-11,sz.003010,若羽臣,I64互联网和相关服务,3.124792239267049,11.88,13.13,0.10371885521885532,669083.0534269911
A_daily_vol_proxy_3_8,2024-07-11,sz.301428,世纪恒通,I64互联网和相关服务,3.0516725076115203,27.8,28.94,0.039507194244604416,681648.2277571718
A_daily_vol_proxy_3_8,2024-07-15,sz.002468,申通快递,G60邮政业,4.360696603229453,8.6,8.56,-0.006151162790697549,677455.298542247
A_daily_vol_proxy_3_8,2024-07-19,sz.300192,科德教育,P83教育,3.018814913986082,9.52,9.38,-0.016205882352941015,666476.5376746949
A_daily_vol_proxy_3_8,2024-07-22,sz.002261,拓维信息,I65软件和信息技术服务业,4.258034593984667,10.5,10.96,0.04230952380952396,675875.9726544404
A_daily_vol_proxy_3_8,2024-07-22,sz.003029,吉大正元,I65软件和信息技术服务业,4.076607382221205,16.99,17.8,0.046175103001765916,686134.1802462369
A_daily_vol_proxy_3_8,2024-07-22,sh.600030,中信证券,J67资本市场服务,3.943649591171735,19.99,19.85,-0.008503501750875274,684245.0521112256
A_daily_vol_proxy_3_8,2024-07-23,sh.603291,联合水务,D46水的生产和供应业,3.1613842236255834,12.68,11.74,-0.07563249211356465,632493.8936036776
A_daily_vol_proxy_3_8,2024-07-24,sz.300144,宋城演艺,R88文化艺术业,3.2820929324348733,7.99,7.55,-0.056568836045056414,596714.4502369119
A_daily_vol_proxy_3_8,2024-07-26,sh.600834,申通地铁,S91综合,5.546399113096545,9.8,8.62,-0.12190816326530624,572466.3293628289
A_daily_vol_proxy_3_8,2024-07-26,sh.601388,怡球资源,C42废弃资源综合利用业,4.483364144369442,2.12,2.18,0.026801886792452934,577797.353743719
A_daily_vol_proxy_3_8,2024-07-26,sz.301068,大地海洋,C42废弃资源综合利用业,3.2715923844369246,21.0,21.52,0.02326190476190476,582424.2586475402
A_daily_vol_proxy_3_8,2024-07-30,sh.600653,申华控股,F52零售业,4.492588198908007,1.36,1.33,-0.0235588235294118,575563.6434831773
