strategy,date,code,name,industry,buy,sell,hold,ret,equity_after
B_all_open_limit_down,2024-04-15,sh.605178,时空科技,E50建筑装饰、装修和其他建筑业,14.22,14.646600000000001,intraday_rebound,0.028500000000000025,619117.2549980746
B_all_open_limit_down,2024-04-15,sz.002253,川大智胜,I65软件和信息技术服务业,10.04,10.341199999999999,intraday_rebound,0.028500000000000025,622606.4465676702
B_all_open_limit_down,2024-04-15,sz.002229,鸿博股份,C23印刷和记录媒介复制业,19.92,17.93,next_open,-0.10139959839357443,610192.3194141529
B_all_open_limit_down,2024-04-15,sz.002145,钛能化学,C26化学原料和化学制品制造业,3.95,3.57,next_open,-0.09770253164556969,598230.8159142977
B_all_open_limit_down,2024-04-16,sh.603023,威帝股份,C39计算机、通信和其他电子设备制造业,2.69,2.42,next_open,-0.1018717472118959,586042.2522236602
B_all_open_limit_down,2024-04-16,sh.600281,华阳新材,C32有色金属冶炼和压延加工业,3.11,3.2033,intraday_rebound,0.028500000000000025,589452.1678743717
B_all_open_limit_down,2024-04-16,sz.002848,高斯贝尔,C39计算机、通信和其他电子设备制造业,6.89,7.0967,intraday_rebound,0.028500000000000025,592862.0835250831
B_all_open_limit_down,2024-04-16,sh.605188,国光连锁,F52零售业,6.57,6.28,next_open,-0.04564003044140036,587401.4289952207
B_all_open_limit_down,2024-04-16,sh.603499,翔港科技,C23印刷和记录媒介复制业,18.47,16.62,next_open,-0.10166242555495392,575237.9098377074
B_all_open_limit_down,2024-04-17,sh.603023,威帝股份,C39计算机、通信和其他电子设备制造业,2.42,2.4926,intraday_rebound,0.028500000000000025,578516.7659237824
B_all_open_limit_down,2024-04-17,sh.603499,翔港科技,C23印刷和记录媒介复制业,16.62,17.1186,intraday_rebound,0.028500000000000025,581795.6220098573
B_all_open_limit_down,2024-04-17,sh.600281,华阳新材,C32有色金属冶炼和压延加工业,2.8,2.884,intraday_rebound,0.028500000000000025,585074.4780959322
B_all_open_limit_down,2024-04-17,sh.605178,时空科技,E50建筑装饰、装修和其他建筑业,11.52,11.8656,intraday_rebound,0.028500000000000025,588353.3341820071
B_all_open_limit_down,2024-04-17,sz.002861,瀛通通讯,C39计算机、通信和其他电子设备制造业,7.33,7.5499,intraday_rebound,0.028500000000000025,591632.1902680821
B_all_open_limit_down,2024-04-18,sh.603900,莱绅通灵,F52零售业,7.17,7.3851,intraday_rebound,0.028500000000000025,595004.4937526102
B_all_open_limit_down,2024-04-19,sz.002310,东方新能,D44电力、热力生产和供应业,1.25,1.13,next_open,-0.09750000000000009,583401.9061244343
B_all_open_limit_down,2024-04-19,sh.600777,新潮能源,B07石油和天然气开采业,2.4,2.472,intraday_rebound,0.028500000000000025,586793.4317388241
B_all_open_limit_down,2024-04-22,sz.002141,贤丰控股,C38电气机械和器材制造业,1.11,1.1433000000000002,intraday_rebound,0.028500000000000025,590138.1542997354
B_all_open_limit_down,2024-04-22,sz.002620,*ST瑞和,E50建筑装饰、装修和其他建筑业,2.66,2.7398000000000002,intraday_rebound,0.028500000000000025,593482.8768606468
B_all_open_limit_down,2024-04-22,sh.603580,艾艾精工,C29橡胶和塑料制品业,19.12,19.6936,intraday_rebound,0.028500000000000025,596827.599421558
B_all_open_limit_down,2024-04-22,sz.002728,特一药业,C27医药制造业,14.47,14.29,next_open,-0.013939530062197779,595191.6744851533
B_all_open_limit_down,2024-04-22,sh.603860,中公高科,M74专业技术服务业,31.66,28.49,next_open,-0.10162634238787122,583264.9404441846
B_all_open_limit_down,2024-04-23,sz.002310,东方新能,D44电力、热力生产和供应业,1.02,0.92,next_open,-0.0995392156862745,571653.3935023615
B_all_open_limit_down,2024-04-23,sz.000506,招金黄金,B09有色金属矿采选业,4.86,5.005800000000001,intraday_rebound,0.028500000000000025,574978.0036628933
B_all_open_limit_down,2024-04-23,sz.002795,永和智控,C34通用设备制造业,3.83,3.9449,intraday_rebound,0.028500000000000025,578302.6138234251
B_all_open_limit_down,2024-04-23,sz.002912,中新赛克,I65软件和信息技术服务业,21.11,20.21,next_open,-0.04413382283278061,573154.2715141979
B_all_open_limit_down,2024-04-23,sh.600745,*ST闻泰,C39计算机、通信和其他电子设备制造业,31.57,30.94,next_open,-0.021455654101995514,570651.4053517997
B_all_open_limit_down,2024-04-24,sz.002310,东方新能,D44电力、热力生产和供应业,0.92,0.9476000000000001,intraday_rebound,0.028500000000000025,573904.118362305
B_all_open_limit_down,2024-04-24,sz.000719,中原传媒,R86新闻和出版业,10.17,10.14,next_open,-0.0044498525073745614,573396.2554449167
B_all_open_limit_down,2024-04-24,sh.603657,春光科技,C29橡胶和塑料制品业,15.8,15.2,next_open,-0.03947468354430389,568890.9987168417
B_all_open_limit_down,2024-04-24,sz.002835,同为股份,C39计算机、通信和其他电子设备制造业,17.54,18.0662,intraday_rebound,0.028500000000000025,572143.711727347
B_all_open_limit_down,2024-04-24,sz.002278,神开股份,C35专用设备制造业,4.22,4.3466,intraday_rebound,0.028500000000000025,575396.4247378523
B_all_open_limit_down,2024-04-25,sh.600706,曲江文旅,N78公共设施管理业,12.06,11.57,next_open,-0.04213018242122718,570548.1134701067
B_all_open_limit_down,2024-04-26,sz.000869,张裕A,C15酒、饮料和精制茶制造业,23.73,24.4419,intraday_rebound,0.028500000000000025,573800.2377168863
B_all_open_limit_down,2024-04-26,sh.603375,盛景微,C39计算机、通信和其他电子设备制造业,42.59,43.867700000000006,intraday_rebound,0.028500000000000025,577052.3619636659
B_all_open_limit_down,2024-04-29,sh.603828,*ST利达,E50建筑装饰、装修和其他建筑业,2.28,2.17,next_open,-0.04974561403508765,571311.1971484099
B_all_open_limit_down,2024-04-29,sz.002715,登云股份,C36汽车制造业,17.98,18.5194,intraday_rebound,0.028500000000000025,574600.3956116028
